ID,County,Zip
0,Westmoreland County,15676
0,Westmoreland County,15677
0,Westmoreland County,15678
0,Westmoreland County,15679
0,Westmoreland County,15680
0,Westmoreland County,15683
0,Westmoreland County,15684
0,Westmoreland County,15685
0,Westmoreland County,15687
0,Westmoreland County,15688
0,Westmoreland County,15689
0,Westmoreland County,15690
0,Westmoreland County,15691
0,Westmoreland County,15692
0,Westmoreland County,15693
0,Westmoreland County,15695
0,Westmoreland County,15696
0,Westmoreland County,15697
0,Westmoreland County,15698
0,Westmoreland County,15779
0,Westmoreland County,15923
0,Westmoreland County,15944
0,Wayne County,18405
0,Wayne County,18415
0,Wayne County,18417
0,Wayne County,18427
0,Wayne County,18431
0,Wayne County,18436
0,Wayne County,18437
0,Wayne County,18438
0,Wayne County,18439
0,Wayne County,18443
0,Wayne County,18445
0,Wayne County,18449
0,Wayne County,18453
0,Wayne County,18454
0,Wayne County,18455
0,Wayne County,18456
0,Wayne County,18459
0,Wayne County,18460
0,Wayne County,18461
0,Wayne County,18462
0,Wayne County,18463
0,Wayne County,18469
0,Wayne County,18472
0,Wayne County,18473
0,Washington County,15004
0,Washington County,15019
0,Washington County,15021
0,Washington County,15022
0,Washington County,15033
0,Washington County,15038
0,Washington County,15053
0,Washington County,15054
0,Washington County,15055
0,Washington County,15057
0,Washington County,15060
0,Washington County,15063
0,Washington County,15067
0,Washington County,15078
0,Washington County,15301
0,Washington County,15311
0,Washington County,15312
0,Washington County,15313
0,Washington County,15314
0,Washington County,15317
0,Washington County,15321
0,Washington County,15322
0,Washington County,15323
0,Washington County,15324
0,Washington County,15329
0,Washington County,15330
0,Washington County,15331
0,Washington County,15332
0,Washington County,15333
0,Washington County,15336
0,Washington County,15339
0,Washington County,15340
0,Washington County,15342
0,Washington County,15345
0,Washington County,15347
0,Washington County,15348
0,Washington County,15350
0,Washington County,15358
0,Washington County,15360
0,Washington County,15361
0,Washington County,15363
0,Washington County,15365
0,Washington County,15366
0,Washington County,15367
0,Washington County,15368
0,Washington County,15376
0,Washington County,15377
0,Washington County,15378
0,Washington County,15379
0,Washington County,15412
0,Washington County,15419
0,Washington County,15423
0,Washington County,15427
0,Washington County,15429
0,Washington County,15432
0,Washington County,15434
0,Washington County,15477
0,Washington County,15483
0,Warren County,16312
0,Warren County,16313
0,Warren County,16329
0,Warren County,16340
0,Warren County,16345
0,Warren County,16347
0,Warren County,16350
0,Warren County,16351
0,Warren County,16352
0,Warren County,16365
0,Warren County,16366
0,Warren County,16367
0,Warren County,16368
0,Warren County,16369
0,Warren County,16371
0,Warren County,16402
0,Warren County,16405
0,Warren County,16416
0,Warren County,16420
0,Warren County,16436
7,Venango County,16301
7,Venango County,16317
7,Venango County,16319
7,Venango County,16323
7,Venango County,16341
7,Venango County,16342
7,Venango County,16343
7,Venango County,16344
7,Venango County,16346
7,Venango County,16362
7,Venango County,16364
7,Venango County,16372
7,Venango County,16373
7,Venango County,16374
8,Union County,17810
8,Union County,17829
8,Union County,17835
8,Union County,17837
8,Union County,17844
8,Union County,17845
8,Union County,17855
8,Union County,17856
8,Union County,17880
8,Union County,17883
8,Union County,17885
8,Union County,17886
8,Union County,17887
8,Union County,17889
9,Tioga County,16901
9,Tioga County,16911
9,Tioga County,16912
9,Tioga County,16917
9,Tioga County,16918
9,Tioga County,16920
9,Tioga County,16921
9,Tioga County,16928
9,Tioga County,16929
9,Tioga County,16930
9,Tioga County,16932
9,Tioga County,16933
9,Tioga County,16935
9,Tioga County,16936
9,Tioga County,16938
9,Tioga County,16939
9,Tioga County,16940
9,Tioga County,16942
9,Tioga County,16943
9,Tioga County,16946
9,Tioga County,16950
9,Tioga County,17765
10,Susquehanna County,18413
10,Susquehanna County,18421
10,Susquehanna County,18430
10,Susquehanna County,18441
10,Susquehanna County,18465
10,Susquehanna County,18470
10,Susquehanna County,18630
10,Susquehanna County,18801
10,Susquehanna County,18812
10,Susquehanna County,18813
10,Susquehanna County,18816
10,Susquehanna County,18818
10,Susquehanna County,18820
10,Susquehanna County,18821
10,Susquehanna County,18822
10,Susquehanna County,18823
10,Susquehanna County,18824
10,Susquehanna County,18825
10,Susquehanna County,18826
10,Susquehanna County,18827
10,Susquehanna County,18828
10,Susquehanna County,18830
10,Susquehanna County,18834
10,Susquehanna County,18842
10,Susquehanna County,18843
10,Susquehanna County,18844
10,Susquehanna County,18847
0,Sullivan County,17731
0,Sullivan County,17758
0,Sullivan County,17768
0,Sullivan County,18614
0,Sullivan County,18616
0,Sullivan County,18619
0,Sullivan County,18626
0,Sullivan County,18628
0,Sullivan County,18632
11,Somerset County,15411
11,Somerset County,15424
11,Somerset County,15485
11,Somerset County,15501
11,Somerset County,15502
11,Somerset County,15510
11,Somerset County,15520
11,Somerset County,15530
11,Somerset County,15531
11,Somerset County,15532
11,Somerset County,15538
11,Somerset County,15540
11,Somerset County,15541
11,Somerset County,15542
11,Somerset County,15544
11,Somerset County,15546
11,Somerset County,15547
11,Somerset County,15548
11,Somerset County,15549
11,Somerset County,15551
11,Somerset County,15552
11,Somerset County,15553
11,Somerset County,15555
11,Somerset County,15557
11,Somerset County,15558
11,Somerset County,15560
11,Somerset County,15561
11,Somerset County,15562
11,Somerset County,15563
11,Somerset County,15564
11,Somerset County,15565
11,Somerset County,15924
11,Somerset County,15926
11,Somerset County,15928
11,Somerset County,15935
11,Somerset County,15936
11,Somerset County,15937
11,Somerset County,15953
11,Somerset County,15959
11,Somerset County,15963
12,Snyder County,17812
12,Snyder County,17813
12,Snyder County,17827
12,Snyder County,17831
12,Snyder County,17833
12,Snyder County,17842
12,Snyder County,17843
12,Snyder County,17853
12,Snyder County,17861
12,Snyder County,17862
12,Snyder County,17864
12,Snyder County,17870
12,Snyder County,17876
12,Snyder County,17882
13,Schuylkill County,17901
13,Schuylkill County,17921
13,Schuylkill County,17922
13,Schuylkill County,17923
13,Schuylkill County,17925
13,Schuylkill County,17929
13,Schuylkill County,17930
13,Schuylkill County,17931
13,Schuylkill County,17932
13,Schuylkill County,17933
