ID,county,PD,TP,P,NP,rate
42,Cumberland,Carlisle Boro Police Dept,600,541,59,90%
42,Cumberland,Cumberland County District Attorney,46,39,7,85%
42,Cumberland,Cumberland County Sheriff,24,23,1,96%
42,Cumberland,"Dickinson, College PD",15,14,1,93%
42,Cumberland,E Pennsboro Township Police Dept,253,225,28,89%
42,Cumberland,Hampden Township Police Dept,310,293,17,95%
42,Cumberland,Lower Allen Township Police Dept,378,357,21,94%
42,Cumberland,Mechanicsburg Police Dept,90,85,5,94%
42,Cumberland,Middlesex Township Police Dept,192,183,9,95%
42,Cumberland,Mt Holly Sprngs Police Dept,42,33,9,79%
42,Cumberland,New Cumberland Police Dept,88,77,11,88%
42,Cumberland,Newville Borough Police Dept,30,28,2,93%
42,Cumberland,North Middleton Police Dept,138,132,6,96%
42,Cumberland,Shippensburg Police Dept,112,95,17,85%
42,Cumberland,"Shippensburg, University PD",32,25,7,78%
42,Cumberland,Shiremanstown Police Dept,16,16,0,100%
42,Cumberland,Silver Spring Police Dept,355,314,41,88%
42,Cumberland,Upper Allen Township Police Dept,180,174,6,97%
42,Cumberland,West Shore Regional Police Dept,225,221,4,98%
43,Crawford,"Allegheny College, Safety & Sec",1,0,1,0%
43,Crawford,Cambridge Springs Police Dept,32,29,3,91%
43,Crawford,Cochranton Boro Police Dept,18,12,6,67%
43,Crawford,Conneaut Lake Regl Police Dept,27,23,4,85%
43,Crawford,Crawford County Sheriff,1,0,1,0%
43,Crawford,Linesville Boro Police Dept,19,19,0,100%
43,Crawford,Meadville City Police Dept,311,257,54,83%
43,Crawford,Titusville Police Dept,101,79,22,78%
43,Crawford,Univ Of Pittsburgh Police Dept,7,5,2,71%
43,Crawford,Vernon Township Police Dept,122,85,37,70%
43,Crawford,West Mead Township Police Dept,22,17,5,77%
44,Columbia,Benton Police Dept,9,7,2,78%
44,Columbia,Berwick Boro Police Dept,212,158,54,75%
44,Columbia,Bloomsburg Police Dept,258,235,23,91%
44,Columbia,"Bloomsburg, University PD",54,49,5,91%
44,Columbia,Briarcreek Township Police Dept,35,26,9,74%
44,Columbia,Catawissa Police Dept,47,33,14,70%
44,Columbia,Columbia County Sheriff,4,3,1,75%
44,Columbia,"Columbia County, Detectives",1,1,0,100%
44,Columbia,Greenwood Township Police Dept,2,1,1,50%
44,Columbia,Hemlock Township Police Dept,138,127,11,92%
44,Columbia,Locust Township PD,35,27,8,77%
44,Columbia,Madison Township Police Dept,1,1,0,100%
44,Columbia,Millville Boro Police Dept,13,8,5,62%
44,Columbia,Montour Township Police Dept,38,33,5,87%
44,Columbia,Orangeville Area Police Dept,9,8,1,89%
44,Columbia,Scott Township Police Dept,100,91,9,91%
44,Columbia,South Centre Township Police Dept,77,57,20,74%
45,Clinton,Clinton County Sheriff,1,1,0,100%
45,Clinton,Lamar Township Police Dept,3,2,1,67%
45,Clinton,Lock Haven De Police Dept,195,187,8,96%
45,Clinton,"Lock Haven, University PD",35,32,3,91%
45,Clinton,Norfolk Southern Police Dept,1,1,0,100%
45,Clinton,Pine Creek Township Police Dept,38,32,6,84%
45,Clinton,Renovo Borough Police Dept,11,6,5,55%
45,Clinton,Woodward Township Police Dept,9,9,0,100%
46,Clearfield,Clearfield Boro Police Dept,230,189,41,82%
46,Clearfield,Clearfield County Sheriff,19,18,1,95%
46,Clearfield,Curwensville Boro Police Dept,34,28,6,82%
46,Clearfield,Decatur Township Police Dept,14,11,3,79%
46,Clearfield,Dubois City Police Dept,163,137,26,84%
46,Clearfield,Lawrence Township Police Dept,157,118,39,75%
46,Clearfield,Morris-Cooper Regl Police Dept,14,8,6,57%
46,Clearfield,Sandy Township Police Dept,154,137,17,89%
47,Clarion,Clarion Boro Police Dept,71,63,8,89%
47,Clarion,Clarion County Sheriff,3,3,0,100%
47,Clarion,"Clarion County, Detectives",94,80,14,85%
47,Clarion,"Clarion, University PD",28,26,2,93%
47,Clarion,Emlenton Police Dept,3,3,0,100%
47,Clarion,Knox Boro Police Dept,17,15,2,88%
47,Clarion,New Bethlehem Boro Police Dept,83,75,8,90%
48,Chester,Bethel Park Police Dept,2,1,1,50%
48,Chester,Birmingham Township Police Dept,17,15,2,88%
48,Chester,Caln Township Police Dept,162,116,46,72%
48,Chester,"Chester County, Detectives",77,72,5,94%
48,Chester,Christiana Boro Police Dept,3,1,2,33%
48,Chester,Coatesville Area School District,1,0,1,0%
48,Chester,Coatesville City Police Dept,418,332,86,79%
48,Chester,"Delaware County, Cid",1,1,0,100%
48,Chester,Downingtown Boro Police Dept,134,118,16,88%
48,Chester,E Coventry Township Police Dept,11,9,2,82%
48,Chester,E Fallowfield Township Police Dept,20,11,9,55%
48,Chester,E Vincent Township Police Dept,21,19,2,90%
48,Chester,E Whiteland Township Police Dept,97,81,16,84%
48,Chester,East Brandywine Township Police Dept,40,34,6,85%
48,Chester,East Marlborough Township Police Dept,4,2,2,50%
48,Chester,East Pikeland Township Pd Police Dept,79,69,10,87%
48,Chester,Easttown Township Police Dept,55,51,4,93%
48,Chester,Honeybrook Boro Police Dept,5,1,4,20%
48,Chester,Kennett Square Police Dept,107,83,24,78%
48,Chester,Kennett Township Police Dept,24,16,8,67%
48,Chester,"Lincoln, University PD",26,20,6,77%
48,Chester,Malvern Boro Police Dept,14,12,2,86%
48,Chester,N Coventry Township Police Dept,116,111,5,96%
48,Chester,New Garden Township Police Dept,135,105,30,78%
48,Chester,Oxford Boro Police Dept,59,38,21,64%
48,Chester,Parkesburg Boro Police Dept,84,56,28,67%
48,Chester,Phoenixville Boro Police Dept,223,196,27,88%
48,Chester,S Coatesville Boro Police Dept,13,7,6,54%
48,Chester,Sadsbury Township Police Dept,26,7,19,27%
48,Chester,Schuylkill Township Police Dept,88,80,8,91%
48,Chester,Spring City Boro Police Dept,50,38,12,76%
48,Chester,Tredyffrin Township Police Dept,243,215,28,88%
48,Chester,Upper Uwchlan Township Police Dept,28,25,3,89%
48,Chester,Uwchlan Township Police Dept,64,59,5,92%
48,Chester,Valley Township Police Dept,50,29,21,58%
48,Chester,W Caln Township Police Dept,53,28,25,53%
48,Chester,West Brandywine Township Police Dept,115,85,30,74%
48,Chester,West Chester Boro Police Dept,295,261,34,88%
48,Chester,"West Chester, University PD",42,35,7,83%
48,Chester,West Fallowfield Township Police Dept,8,8,0,100%
48,Chester,West Goshen Township Police Dept,153,140,13,92%
48,Chester,West Grove Boro Police Dept,8,4,4,50%
48,Chester,West Nottingham Township Police Dept,3,3,0,100%
48,Chester,West Pikeland Township Police Dept,27,24,3,89%
48,Chester,West Sadsbury Police Dept,86,65,21,76%
48,Chester,West Vincent Township Police Dept,13,11,2,85%
48,Chester,West Whiteland Township Police Dept,373,338,35,91%
48,Chester,Westtown/East Goshen Police Dept,163,145,18,89%
48,Chester,Willistown Township Police Dept,36,34,2,94%
49,Centre,Bellefonte Boro Police Dept,96,91,5,95%
49,Centre,Centre County Sheriff,1,1,0,100%
49,Centre,Ferguson Township Police Dept,169,160,9,95%
49,Centre,Patton Township Police Dept,242,236,6,98%
49,Centre,"Penn State, University PD",313,306,7,98%
49,Centre,Spring Township Police Dept,81,72,9,89%
49,Centre,State College Police Department,584,554,30,95%
50,Carbon,Beaver Meadows Boro Police Dept,24,22,2,92%
50,Carbon,East Penn Township Police Dept,4,4,0,100%
50,Carbon,Franklin Township Police Dept,56,54,2,96%
50,Carbon,Jim Thorpe Police Dept,66,57,9,86%
50,Carbon,Kidder Township Police Dept,44,41,3,93%
50,Carbon,Lansford Boro Police Dept,204,176,28,86%
50,Carbon,Lehighton Boro Police Dept,137,118,19,86%
50,Carbon,Mahoning Township Police Dept,240,223,17,93%
50,Carbon,Nesquehoning Boro Police Dept,129,111,18,86%
50,Carbon,Palmerton Boro Police Dept,115,101,14,88%
50,Carbon,Summit Hill Boro Police Dept,18,14,4,78%
