ID,county,PD,TP,P,NP,rate
,Beaver,Chippewa Township Police Dept,187,184,3,98%
,Beaver,Conway Boro Police Dept,62,61,1,98%
,Beaver,Darlington Township Police Dept,13,13,0,100%
,Beaver,Economy Boro Police Dept,132,129,3,98%
,Beaver,Ellwood City Boro Police Dept,12,11,1,92%
,Beaver,Franklin Township Police Dept,36,32,4,89%
,Beaver,Freedom Borough Police Dept,22,22,0,100%
,Beaver,Harmony Township Police Dept,81,78,3,96%
,Beaver,Hopewell Township Police Dept,121,119,2,98%
,Beaver,Independence Township Police Dept,10,10,0,100%
,Beaver,Koppel Boro Police Dept,16,16,0,100%
,Beaver,Marion Township Police Dept,4,4,0,100%
,Beaver,Midland Boro Police Dept,143,137,6,96%
,Beaver,Monaca Boro Police Dept,151,151,0,100%
,Beaver,New Brighton Police Dept,252,243,9,96%
,Beaver,New Sewickley Township Police Dept,119,115,4,97%
,Beaver,North Sewickley Township Police Dept,61,59,2,97%
,Beaver,Ohioville Boro Police Dept,24,23,1,96%
,Beaver,Patterson Township Police Dept,61,59,2,97%
,Beaver,Penn State Univer Police Dept,1,1,0,100%
,Beaver,Raccoon Township Police Dept,17,17,0,100%
,Beaver,Rochester Borough Police Dept,310,299,11,96%
,Beaver,Rochester Township Police Dept,74,71,3,96%
,Beaver,Shippingport Boro Police Dept,,,,
,Beaver,South Beaver Township Police Dept,24,21,3,88%
,Beaver,South Heights Boro Police Dept,1,1,0,100%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
58,Bedford,Bedford County District Attorney,13,8,5,62%
,Bedford,Bedford County Sheriff,18,15,3,83%
,Bedford,Bedford Police Dept,37,28,9,76%
,Bedford,Everett Boro Police Dept,22,16,6,73%
,Bedford,Saxton Boro Police Dept,40,28,12,70%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
57,Berks,Amity Township Police Dept,138,126,12,91%
,Berks,Bally Boro Police Dept,5,5,0,100%
,Berks,Berks County District Attorney,230,217,13,94%
,Berks,Berks County Sheriff,14,12,2,86%
,Berks,Bern Township Police Dept,61,59,2,97%
,,Bernville Boro Police Dept,1,1,0,100%
,Berks,Bethel Township Police Dept,31,24,7,77%
,Berks,Birdsboro Boro Police Dept,47,43,4,91%
,Berks,Boyertown Police Dept,101,99,2,98%
,Berks,Brecknock Township Police Dept,53,52,1,98%
,Berks,Caernarvon Township Police Dept,68,66,2,97%
,Berks,Central Berks Region Police Dept,91,81,10,89%
,Berks,Colebrookdale Township Police Dept,75,73,2,97%
,Berks,Cumru Township Police Dept,177,158,19,89%
,Berks,Douglass Township Police Dept,30,28,2,93%
,Berks,Exeter Township Police Dept,468,403,65,86%
,Berks,Fleetwood Boro Police Dept,59,57,2,97%
,,"Franklin And Marshal, College PD",1,1,0,100%
,Berks,Hamburg Boro Police Dept,53,50,3,94%
,,Heidelberg Township Police Dept,1,1,0,100%
,Berks,Kutztown Boro Police Dept,113,106,7,94%
,Berks,"Kutztown, University PD",85,84,1,99%
,Berks,Laureldale Boro Police Dept,31,24,7,77%
,Berks,Lower Heidelberg Township Police Dept,35,31,4,89%
,Berks,Mohnton Boro Police Dept,20,16,4,80%
,Berks,Muhlenberg Township Police Dept,644,579,65,90%
,,Norfolk Southern Police Dept,2,2,0,100%
,Berks,Northern Berks Police Dept,125,114,11,91%
,Berks,Oley Township Police Dept,16,15,1,94%
,Berks,"Penn State, University PD",24,24,0,100%
,Berks,Reading City Police Dept,2604,2251,353,86%
,Berks,Robeson Police Dept,42,39,3,93%
,Berks,Shillington Boro Police Dept,81,71,10,88%
,Berks,Sinking Springs Boro Police Dept,59,54,5,92%
,Berks,South Heidelberg Township Police Dept,44,38,6,86%
,Berks,Spring Township Police Dept,268,254,14,95%
,Berks,Tilden Township Police Dept,32,30,2,94%
,Berks,Tulpehocken Township Police Dept,8,8,0,100%
,Berks,West Reading Boro Police Dept,208,158,50,76%
,Berks,Western Berks Regional Police Dept.,64,60,4,94%
,Berks,Womelsdorf Boro Police Dept,21,19,2,90%
,Berks,Wyomissing Boro Police Dept,382,309,73,81%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
56,Blair,Allegheny Township Police Dept,243,188,55,77%
,Blair,Altoona Area SD Police Dept,2,1,1,50%
,Blair,Altoona Police Dept,1394,1142,252,82%
,Blair,Bellwood Boro Police Dept,20,14,6,70%
,Blair,Blair County District Attorney,1,1,0,100%
,Blair,Blair County Sheriff,20,14,6,70%
,Blair,Blair Township Police Dept,34,26,8,76%
,Blair,Duncansville Boro Police Dept,16,12,4,75%
,Blair,Freedom Township Police Dept,147,133,14,90%
,Blair,Greenfield Township Police Dept,103,95,8,92%
,Blair,Hollidaysburg Boro Police Dept,65,56,9,86%
,Blair,Logan Township Police Dept,284,241,43,85%
,Blair,Martinsburg Boro Police Dept,13,12,1,92%
,Blair,Norfolk Southern Police Dept,8,7,1,88%
,Blair,North Woodbury Township Police Dept,5,5,0,100%
,Blair,"Penn State, University PD",30,19,11,63%
,Blair,Roaring Spring Boro Police Dept,16,15,1,94%
,Blair,Tyrone Boro Police Dept,122,104,18,85%
,Blair,Williamsburg Boro Police Dept,4,4,0,100%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
55,Bradford,Athens Boro Police Dept,85,60,25,71%
,Bradford,Athens Township Police Dept,226,200,26,88%
,Bradford,Bradford County Sheriff,18,14,4,78%
,Bradford,"Bradford County, Detectives",4,0,4,0%
,Bradford,Canton Boro Police Dept,43,22,21,51%
,Bradford,Laceyville Boro Police Dept,1,1,0,100%
,Bradford,Sayre Boro Police Dept,182,116,66,64%
,Bradford,Towanda Boro Police Dept,137,35,102,26%
,Bradford,Troy Boro Police Dept,9,0,9,0%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
54,Bucks,Bedminster Township Police Dept,56,52,4,93%
,Bucks,Bensalem Township Police Dept,2039,1911,128,94%
,Bucks,Bristol Boro Police Dept,75,61,14,81%
,Bucks,Bristol Township Police Dept,618,544,74,88%
,Bucks,Buckingham Township Police Dept,77,65,12,84%
,Bucks,Bucks County Prison,42,42,0,100%
,Bucks,Bucks County Sheriff,4,4,0,100%
,Bucks,"Bucks County, Detectives",55,51,4,93%
,Bucks,"Bucks County, Rangers",20,16,4,80%
,Bucks,Central Bucks Regional Police,205,181,24,88%
,Bucks,Chalfont Boro Police Dept,31,23,8,74%
,Bucks,Doylestown Boro Police Dept,1,0,1,0%
,Bucks,Doylestown Township Police Dept,153,147,6,96%
,Bucks,Dublin Boro Police Dept,16,16,0,100%
,Bucks,Falls Township Police Dept,569,491,78,86%
,Bucks,Hilltown Township Police Dept,254,218,36,86%
,Bucks,Hulmeville Boro Police Dept,5,2,3,40%
,Bucks,Langhorne Boro Police Dept,13,13,0,100%
,Bucks,Langhorne Manor Police Dept,4,3,1,75%
,Bucks,Lower Makefield Police Dept,201,175,26,87%
,Bucks,Lower Southampton Police Dept,261,241,20,92%
,Bucks,Middletown Township Police Dept,710,657,53,93%
,Bucks,Morrisville Boro Police Dept,243,229,14,94%
,Bucks,New Britain Boro Police Dept,20,16,4,80%
,Bucks,New Britain Township Police Dept,56,51,5,91%
,Bucks,New Hope Boro Police Dept,50,43,7,86%
,Bucks,Newtown Boro Police Dept,43,43,0,100%
,Bucks,Newtown Township Police Dept,145,138,7,95%
,Bucks,Northampton Township Police Dept,172,167,5,97%
,Bucks,Penndel Boro Police Dept,60,47,13,78%
,Bucks,Pennridge Regional Police Dept,55,47,8,85%
,Bucks,Perkasie Boro Police Dept,140,126,14,90%
,Bucks,Plumstead Township Police Dept,105,86,19,82%
,Bucks,Quakertown Boro Police Dept,234,224,10,96%
,Bucks,Richland Township Police Dept,208,192,16,92%
,Bucks,Solebury Township Police Dept,46,36,10,78%
,Bucks,Springfield Township Police Dept,14,12,2,86%
,Bucks,Telford Boro Police Dept,23,16,7,70%
,Bucks,Tinicum Township Police Dept,33,32,1,97%
,Bucks,Tullytown Borough Police Dept,263,247,16,94%
,Bucks,Upper Dublin Township Police Dept,1,1,0,100%
,Bucks,Upper Makefield Police Dept,35,32,3,91%
,Bucks,Upper Southampton Police Dept,184,181,3,98%
,Bucks,Warminster Township Police Dept,338,326,12,96%
,Bucks,Warrington Township Police Dept,297,268,29,90%
,Bucks,Warwick Township Police Dept,138,133,5,96%
,Bucks,Yardley Boro Police Dept,48,41,7,85%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
53,Butler,Adams Township Police Dept,111,94,17,85%
,Butler,Buffalo Township Police Dept,43,34,9,79%
,Butler,Butler City Police Dept,691,577,114,84%
,Butler,Butler Community College PD,3,2,1,67%
,Butler,Butler County Sheriff,19,12,7,63%
,Butler,"Butler County, Detectives",91,80,11,88%
,Butler,Butler Township Police Dept,493,440,53,89%
,Butler,Callery Boro Police Dept,1,1,0,100%
,Butler,Cranberry Township Police Dept,459,385,74,84%
,Butler,Evans City Boro Police Dept,5,4,1,80%
,Butler,Evans City Seven Fields Reg PD,19,18,1,95%
,Butler,Harrisville Boro Police Dept,2,1,1,50%
,Butler,Jackson Township Police Dept,53,51,2,96%
,Butler,Lancaster Township Police Dept,14,14,0,100%
,Butler,Middlesex Township Police Dept,60,57,3,95%
,Butler,Penn Township Police Dept,72,67,5,93%
,Butler,"Philadelphia, Housing Auth",12,12,0,100%
,Butler,Saxonburg Boro Police Dept,18,13,5,72%
,Butler,Slippery Rock Boro Police Dept,54,48,6,89%
,Butler,"Slippery Rock, University PD",33,31,2,94%
,Butler,Zelienople Police Dept,35,29,6,83%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,,,,,,,
52,Cambria,Adams Township Police Dept,27,27,0,100%
,Cambria,Ashville Boro Police Dept,1,1,0,100%
